speakerID,lexical_token,feedback_start,feedback_end,predicted_function
sw02001A,um,2.273625,2.927625,O
sw02001A,mhm,20.360875,20.837375,C
sw02001A,right,180.56725,181.08,A
sw02001A,yeah,205.156375,205.56975,O
sw02001A,right,216.51175,217.0505,A
sw02001A,yeah,228.701,229.20725,A
sw02001A,right,40.661875,41.100125,A
sw02001A,right,70.14525,70.618,A
sw02001B,mhm,110.305,110.974,C
sw02001B,um,117.064625,117.593125,O
sw02001B,yeah,133.57025,134.388875,A
sw02001B,mhm,201.78125,202.271625,C
sw02001B,yep,247.40175,247.7525,PR
sw02001B,mhm,101.32475,101.93575,C
sw02001B,mhm,87.53575,88.155125,C
sw02001B,right,104.796625,105.401,A
sw02001B,yeah,98.089875,98.671625,A
sw02005A,mhm,31.92675,32.42675,C
sw02005A,mhm,98.43774999999998,98.86924999999998,C
sw02005A,yeah,22.350875,22.677375,A
sw02005A,yeah,78.14474999999999,78.35474999999998,C
sw02005A,yeah,86.54337499999998,86.86437499999998,A
sw02005A,yes,21.540875,21.980875,PR
sw02005A,yes,45.27125,45.717125,PR
sw02005A,uh,160.42475,160.582375,O
sw02005A,well,174.988875,175.272125,O
sw02005A,yeah,174.440875,174.7005,C
sw02005A,mhm,271.336,271.7585,C
sw02005A,mhm,250.2575,250.5775,C
sw02005A,yeah,245.4495,245.84125,A
sw02005A,yeah,260.963,261.303,C
sw02005A,yeah,283.104875,283.4945,C
sw02005A,um,313.850625,314.380875,O
sw02005A,yeah,365.758,366.1675,A
sw02005A,yeah,367.439125,367.641,A
sw02005A,yeah,369.88375,370.12775,A
sw02005A,uh,401.993,402.26025,O
sw02005A,yeah,404.48425,404.948375,A
sw02005A,yeah,430.00575,430.5005,A
sw02005A,yeah,484.126625,484.486625,A
sw02005A,okay,485.841875,486.446375,O
sw02005A,well,486.909875,487.191,O
sw02005A,okay,491.359625,491.9185,C
sw02005B,mhm,155.289375,155.489375,C
sw02005B,mhm,168.417625,169.047625,C
sw02005B,mhm,164.281125,164.631125,C
sw02005B,yes,172.39275,172.6385,A
sw02005B,mhm,185.03975,185.30975,C
sw02005B,mhm,212.482375,212.765375,C
sw02005B,mhm,217.51425,217.731875,C
sw02005B,mhm,203.58375,204.246375,C
sw02005B,right,205.754375,206.01625,A
sw02005B,yeah,206.41825,206.628375,A
sw02005B,yep,218.57275,218.786,PR
sw02005B,mhm,234.437125,234.776,C
sw02005B,mhm,226.0665,226.374125,C
sw02005B,mhm,293.73475,294.478875,C
sw02005B,mhm,295.699625,296.001875,C
sw02005B,mhm,298.84925,299.16925,C
sw02005B,mhm,311.432875,311.752875,C
sw02005B,mhm,316.849,317.244625,C
sw02005B,mhm,322.1855,322.531375,C
sw02005B,sure,312.476,312.764,C
sw02005B,mhm,339.100375,339.437625,A
sw02005B,mhm,343.5325,344.0025,C
sw02005B,mhm,347.533875,348.413875,C
sw02005B,right,342.630625,342.8965,A
sw02005B,yes,340.864125,341.204625,A
sw02005B,yes,348.78175,349.062625,A
sw02005B,mhm,359.017,359.28025,C
sw02005B,yeah,360.559125,360.758875,A
sw02005B,mhm,381.183125,381.748125,C
sw02005B,mhm,384.752625,385.042625,C
sw02005B,mhm,394.435375,394.769375,C
sw02005B,mhm,395.446875,395.820375,C
sw02005B,yes,390.616875,390.876875,A
sw02005B,absolutely,401.2125,401.711875,A
sw02005B,sure,400.677875,400.966,A
sw02005B,yes,413.66625,414.012375,A
sw02005B,mhm,451.03725,451.41175,C
sw02005B,sure,458.12125,458.35225,A
sw02005B,mhm,467.105125,467.5585,C
sw02005B,mhm,475.029,475.296375,C
sw02005B,okay,489.934375,490.253,C
sw02005B,yeah,492.046625,492.27775,C
sw02005B,hm,117.7225,118.052875,NS
sw02005B,mhm,127.343875,128.051875,C
sw02005B,mhm,128.629,129.142375,C
sw02005B,mhm,140.645125,140.901375,C
sw02005B,mhm,108.272375,109.24725,C
sw02005B,right,120.9395,121.2395,C
sw02005B,right,144.971875,145.22975,C
sw02005B,uh-huh,145.398125,145.732375,C
sw02005B,yes,137.038,137.419,A
sw02006A,right,16.45325,17.0505,A
sw02006A,mhm,125.48075,125.9715,C
sw02006A,uh-huh,134.0055,134.442125,C
sw02006A,uh-huh,113.2345,113.5795,C
sw02006A,hm,183.50625,184.065625,D
sw02006A,hm,190.3445,190.698875,NS
sw02006A,mhm,159.562125,159.971,C
sw02006A,hm,210.0155,210.37325,D
sw02006A,mhm,217.84575,218.269875,C
sw02006A,mhm,222.72,223.25625,C
sw02006A,right,239.251625,239.6925,A
sw02006A,hm,358.11525,358.463375,D
sw02006A,mhm,335.027625,335.42775,C
sw02006A,mhm,346.013125,346.461375,C
sw02006A,mhm,362.8865,363.252,C
sw02006A,yeah,388.782625,389.31275,PR
sw02006A,yes,400.00625,400.85625,PR
sw02006B,mhm,34.475375,34.835375,C
sw02006B,very,66.9945,67.4645,PS
sw02006B,hm,316.241375,316.63375,D
sw02006B,yeah,406.4135,406.74175,C
sw02006B,yeah,413.1785,413.751875,A
sw02006B,uh,91.955625,92.192375,O
sw02006B,uh,92.546375,92.986875,O
sw02006B,uh,99.108,99.579375,O
sw02007A,right,119.52225,120.080625,A
sw02007A,yeah,111.1015,111.45475,A
sw02007A,yeah,112.68425,112.997375,A
sw02007A,mhm,130.3265,130.81775,C
sw02007A,sure,135.250375,135.718375,C
sw02007A,yeah,135.918,136.2215,A
sw02007A,mhm,195.56725,195.921,C
sw02007A,mhm,192.72875,193.143125,C
sw02007A,yeah,209.901375,210.3385,A
sw02007A,yeah,211.2435,211.63725,A
sw02007A,hm,33.960875,34.340875,NS
sw02007A,gosh,315.53025,316.11875,NegS
sw02007A,mhm,303.757125,304.152,C
sw02007A,mhm,307.405625,307.737875,C
sw02007A,mhm,298.94375,299.371625,C
sw02007A,right,331.773875,332.121625,A
sw02007A,yeah,331.213125,331.539,A
sw02007A,jeez,338.307625,338.667,NegS
sw02007A,right,391.530625,391.99925,O
sw02007A,um,415.290875,415.86025,O
sw02007A,yeah,414.22125,414.631625,A
sw02007A,mhm,449.78025,450.160875,C
sw02007A,yeah,445.062625,445.29075,A
sw02007A,yeah,486.004625,486.38425,A
sw02007A,yeah,12.512625,12.9865,A
sw02007A,um,516.579125,517.00975,O
sw02007A,mhm,548.725625,549.14975,C
sw02007A,yeah,565.40875,565.78525,A
sw02007A,um,571.272125,571.765375,O
sw02007A,yeah,582.547875,582.94525,A
sw02007A,yeah,69.8145,70.2045,A
sw02007A,mhm,77.3475,77.746625,C
sw02007A,mhm,83.433375,83.797,C
sw02007B,yeah,233.3965,233.683375,A
sw02007B,uh,29.457875,29.741625,O
sw02007B,yes,334.80925,335.383,A
sw02007B,mhm,427.629,428.088375,C
sw02007B,well,437.126,437.55225,O
sw02007B,mhm,476.397875,476.931375,C
sw02007B,yeah,461.83775,462.292,C
sw02007B,uh-huh,500.94525,501.51075,C
sw02007B,uh-huh,533.846375,534.516125,C
sw02007B,well,525.063125,525.333125,O
sw02008A,yeah,112.68,112.95,A
sw02008A,yeah,119.823125,120.110625,C
sw02008A,mhm,140.495125,140.902375,C
sw02008A,yep,132.42675,132.643875,PR
sw02008A,yeah,16.43625,16.712,A
sw02008A,uh-huh,169.1465,169.50375,C
sw02008A,yeah,174.290625,174.72625,C
sw02008A,um,199.927,200.24525,O
sw02008A,okay,213.919875,214.5735,C
sw02008A,yeah,54.90125,55.2525,C
sw02008A,yeah,102.314875,102.800875,C
sw02008B,yeah,144.039,144.559125,A
sw02008B,yeah,144.87175,145.179,A
sw02008B,mhm,154.047375,154.53675,C
sw02008B,uh-huh,152.10375,152.310625,C
sw02008B,uh-huh,163.347125,163.73925,C
sw02008B,yeah,164.581,164.963625,PR
sw02008B,mhm,191.56475,192.029125,C
sw02008B,uh-huh,180.53475,180.95025,C
sw02008B,uh-huh,185.976875,186.458125,C
sw02008B,mhm,206.9315,207.2975,C
sw02008B,uh-huh,208.162375,208.61975,C
sw02008B,mhm,28.749875,29.161375,C
sw02008B,uh-huh,33.0305,33.38225,C
sw02008B,uh-huh,42.73275,43.098,C
sw02008B,uh-huh,38.743875,39.263125,C
sw02008B,um,43.817375,44.19025,O
sw02008B,mhm,80.19225,80.625375,C
sw02008B,mhm,82.846625,83.314125,C
sw02008B,right,86.694875,87.1985,C
sw02008B,right,71.241125,71.73875,C
sw02008B,right,73.7705,74.29525,C
sw02008B,uh-huh,78.730625,79.024625,C
sw02008B,um,97.069,97.593,O
sw02009A,hm,152.532375,152.953125,NS
sw02009A,oh,145.516,145.949625,PS
sw02009A,yeah,139.034375,139.47425,A
sw02009A,mhm,29.422125,29.8525,C
sw02009A,yeah,209.55775,210.006125,A
sw02009A,yeah,222.4755,222.801,A
sw02009A,mhm,266.23,266.642,C
sw02009A,um,276.35975,276.69975,O
sw02009A,yeah,295.42225,295.80625,A
sw02009A,okay,307.3685,307.95725,C
sw02009B,yeah,134.380375,135.05275,A
sw02009B,mhm,180.35575,180.82025,C
sw02009B,yeah,201.022,201.585,C
sw02009B,uh-huh,249.233625,249.603375,C
sw02009B,yeah,255.309,255.811,C
sw02009B,yeah,250.838625,251.37275,C
sw02009B,yeah,266.71825,267.15225,PR
sw02009B,yes,72.37725,73.035625,A
sw02010A,yeah,137.687375,138.1155,C
sw02010A,uh-huh,165.891,166.157375,C
sw02010A,um,221.45875,222.20875,O
sw02010A,uh-huh,244.34825,244.83175,C
sw02010A,yeah,250.056125,250.607625,C
sw02010A,yeah,262.57925,263.003,A
sw02010A,um,270.4765,271.059,O
sw02010A,oh,36.209,36.9645,Sy
sw02010A,okay,37.20175,37.75375,C
sw02010A,really,46.598875,47.048875,D
sw02010A,right,74.88175,75.208375,A
sw02010A,uh-huh,71.4095,71.7395,C
sw02010B,yes,231.678875,232.23075,PR
sw02010B,uh,39.14575,39.78075,O
sw02010B,no,84.763,85.224875,NR
sw02010B,yeah,82.221625,82.574375,PR
sw02010B,no,90.28525,90.665,NR
sw02012A,mhm,143.773875,144.203875,C
