speakerID,speakerID_sex,lexical_token,feedback_start,feedback_end,function,4sec_interlocutor_context
sw02089A,male,mhm,95.92975,96.18130169344775,C,that uh or a client that lives on uh Lake Tawakoni
sw02089A,male,yeah,99.578625,99.83775,C,that has told me you know anytime i wanna fish you know just come on over
sw02131A,male,yes,373.69725659843795,373.84358230797164,C,oh we we watch those award shows too we like we
sw02131A,male,yeah,378.50113414514874,378.68773844026555,C,the country and the Grammies and stuff but i just i just don't care for him
sw02017A,female,mhm,199.921125,200.44101028771394,C,U but on one of the corners uh is where that shower is
sw02017A,female,yes,211.08041080130235,211.57035867913066,C,would cause some problems in that in that area of the house
sw02685B,male,huh-huh,169.83992466511106,170.16984549094428,C,they like to mix red fescue in with uh Kentucky Blue
sw02685B,male,huh-huh,175.907125,176.20014398045274,C,uh my favorite is uh a zoysia grass
sw02685B,male,yah,198.14393610611884,198.27734664857834,A,it around the yard and it just spreads and it chokes out the weeds
sw02685B,male,huh-huh,203.3775,203.702103937516,C,get in there and so you don't have to weed and feed and do all that other crazy stuff you
sw02020A,female,mhm,448.7929273656707,449.1581972455651,C,to a to another kind of to another type of listener
sw02020A,female,uh-huh,463.90058556025394,464.244875,C,for let's say another audience let's say a North American
sw02020A,female,huh,468.985125,469.19547643663645,MS,when they hear it it it it's a really it's another form of music and
sw02020A,female,right,475.1584551820576,475.410444871584,A,draw out the best sources the the best of every type of music
sw02020A,female,no,484.7459825173338,485.106875,A,but i wouldn't i wouldn't say that i i completely like heavy
sw02187B,female,yeah,100.65017408020786,100.83574876293511,O,instead of something greasy or uh uh
sw02187B,female,mhm,110.82327495867301,111.37375051063196,C,is they have a vegetable tray i think they try and suggest it
sw02187B,female,oh,118.71146192369099,119.18059855080826,SS,i make uh food kebabs You take little toothpicks and
sw02187B,female,yes,121.97007732361627,122.55013066642675,SS,and cut up uh pineapple and strawberry
sw02187B,female,right,125.28056627743135,125.77058029678331,A,even banana if you can do it just before you
sw02187B,female,right,126.93834044669399,127.35818075572537,A,if you can do it just before you leave it stays nice and
sw04048B,male,pardon,39.663894055364004,39.89424033304496,U,oh they do with alcohol
